index,genre_raw,genre_name,male_review_score,num_male_reviews,female_review_score,num_female_reviews
0,action,Action & Adventure,0.111051374,41682,0.131681875,8578
1,animation,Animation,0.192262845,6156,0.233163136,1561
2,anime_manga,Anime & Manga,0.218324603,30,0.086092593,9
3,art_house_international,Art House & International,0.138112615,15303,0.153900633,3369
4,classics,Classics,0.192765714,8262,0.209609629,1070
5,comedy,Comedy,0.152548934,55509,0.170175491,13549
6,cult,Cult,0.08078466,425,0.110314286,42
7,documentary,Documentary,0.158240914,11398,0.164806475,2936
8,drama,Drama,0.136664609,96915,0.14376076,22262
9,faith_spirituality,Faith & Spirituality,0.180657972,430,0.193268294,79
10,family,Kids & Family,0.167825727,10082,0.20220232,2731
11,fitness,Sports & Fitness,0.196895025,1687,0.186526963,380
12,horror,Horror,0.019214532,14600,0.0316804,2658
13,musical,Musical,0.181511999,7664,0.213044361,1846
14,mystery,Mystery,0.081023612,38741,0.085245082,7923
15,queer,Queer,0.24455286,252,0.247978382,69
16,romance,Romance,0.163800458,20204,0.175320989,5302
17,scifi,Science Fiction & Fantasy,0.129462094,22984,0.157384349,5158
18,television,Television,0.186813551,1155,0.202145169,266
19,western,Western,0.186813551,1155,0.202145169,266