rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/20000_days_on_earth,"20,000 Days on Earth",Ray Pride,False,Certified-Fresh,Fresh,2014,"It sounds like so much attenuated tosh, but this bold, unique gem is bright, funny, brooding, hopeful, momentarily visionary, a wounded beauty exploring the creative process in a fresh and oft-brilliant fashion.",mostly_male,"['Documentary', 'Musical & Performing Arts', 'Special Interest']","{'neg': 0.0, 'neu': 0.359, 'pos': 0.641, 'compound': 0.9888}",0.9888
m/across_the_universe,Across the Universe,Matthew Turner,False,Rotten,Fresh,2007,"Julie Taymor's love-it-or-hate-it musical is hugely ambitious but it works brilliantly, thanks to strong performances, a fantastic script, terrifically integrated songs and Taymor's inspired direction.",male,"['Musical & Performing Arts', 'Romance']","{'neg': 0.0, 'neu': 0.372, 'pos': 0.628, 'compound': 0.9845}",0.9845
m/begin_again_2013,Begin Again,Linda Cook,False,Certified-Fresh,Fresh,2014,"People who love music, people who love great films, and people who love both, are sure to love 'Begin Again,' an exquisite film by John Carney, who wrought the equally superb 'Once.'",female,"['Comedy', 'Drama', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.9823}",0.9823
m/1194524-high_school_musical_3_senior_year,High School Musical 3: Senior Year,Carolyn Arends,False,Fresh,Fresh,2008,"Sure, the franchise is corny, but it ultimately celebrates talent, enthusiasm, loyalty and love. And you can dance to it.",female,['Musical & Performing Arts'],"{'neg': 0.0, 'neu': 0.361, 'pos': 0.639, 'compound': 0.9794}",0.9794
m/begin_again_2013,Begin Again,Alissa Wilkinson,False,Certified-Fresh,Fresh,2016,"Begin Again is the best sort of summer movie, with great performances and a solid core. It's clearly a work that comes from love shared by people who enjoyed making it, and that makes it fun for us to watch out in the audience, too.",female,"['Comedy', 'Drama', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.576, 'pos': 0.424, 'compound': 0.9771}",0.9771
m/beauty_and_the_beast_1991,Beauty and the Beast,Diva Velez,False,Certified-Fresh,Fresh,2012,"One of the brightest jewels in Disney's crown, Beauty and the Beast's 3D reissue takes nothing away and makes the film's brilliance even easier to appreciate; the movie is more beautiful and timeless than it ever was.",female,"['Animation', 'Drama', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.9761}",0.9761
m/bandslam,Bandslam,Stephen Whitty,True,Certified-Fresh,Fresh,2009,"Bandslam is hardly the definition of a great movie, but it is pleasant and bright and doesn't insult its audience's intelligence. And that's as rare and welcome as a well-crafted three-minute pop song.",male,"['Comedy', 'Drama', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.9737}",0.9737
m/amazing_grace_2018,Amazing Grace,Frank Ochieng,False,Certified-Fresh,Fresh,2018,"[A] soulfully dynamic documentary. Amazing Grace is a resonating reminder of what a legendary entertainer Aretha Franklin was in conviction and consciousness. Purely uplifting in its astounding skin, Amazing Grace does Aretha Franklin's legacy proud.",male,"['Documentary', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.9729}",0.9729
m/bride_and_prejudice,Bride and Prejudice,Victoria Alexander,False,Fresh,Fresh,2005,"Joyous fun with a strong, positive Indian sensibility. A beautiful cast certainly helps.",female,"['Comedy', 'Musical & Performing Arts', 'Romance']","{'neg': 0.0, 'neu': 0.147, 'pos': 0.853, 'compound': 0.9726}",0.9726
m/beauty_and_the_beast_2017,Beauty and the Beast,Kirk Baird,False,Fresh,Fresh,2017,"The songs are still lovely. The story still timeless. And when Beauty and the Beast is good, it's joyful and fun. But even in its best moments, this remake only reminds you of why you fell in love with Disney's animated take on this tale to begin with.",male,"['Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.9718}",0.9718
m/alive_inside,Alive Inside,David Hiltbrand,True,Certified-Fresh,Fresh,2014,"Alive Inside is a small but vibrant miracle. The documentary finds hope and joy in one of our nation's bleakest settings, nursing homes.",male,"['Documentary', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.452, 'pos': 0.548, 'compound': 0.9707}",0.9707
m/beauty_and_the_beast_2017,Beauty and the Beast,Michael Smith,False,Fresh,Fresh,2017,"Very solid and safe, but still sure to charm audiences of all ages, like those kids who fell in love with this story more than 25 years ago and who now will treat their own children.",male,"['Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.9706}",0.9706
m/beauty_and_the_beast_2017,Beauty and the Beast,Craig Mathieson,False,Fresh,Rotten,2017,"The love in this Beauty and the Beast resides in the audience's affection for the 1991 soundtrack, which stars with nostalgic durability. For a film about finding freedom through devotion to an unlikely other, this has all the passion of a straitjacket.",male,"['Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.9705}",0.9705
m/beauty_and_the_beast_1991,Beauty and the Beast,Steven D. Greydanus,False,Certified-Fresh,Fresh,2010,"At the intersection of great animated films, great filmed stage musicals, and great fairy-tale romances, Disney's Beauty and the Beast stands alone ... the quintessential Disney masterpiece.",male,"['Animation', 'Drama', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.045, 'neu': 0.449, 'pos': 0.506, 'compound': 0.9702}",0.9702
m/begin_again_2013,Begin Again,MaryAnn Johanson,False,Certified-Fresh,Fresh,2014,"A hugely satisfying ode to entrepreneurial creativity, and a glorious love letter to New York City and the art it inspires. I love this movie so much.",unknown,"['Comedy', 'Drama', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.457, 'pos': 0.543, 'compound': 0.9698}",0.9698
m/1196003-princess_and_the_frog,The Princess and the Frog,Tom Huddleston,True,Certified-Fresh,Fresh,2010,"Randy Newman's songs are a little too blandly Randy Newman-ish and the story is uneven, but there are some great characters, some even better jokes, a general sense of good humour and that entrancing, eye-ravishing old-school animation.",male,"['Animation', 'Comedy', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.9682}",0.9682
m/amazing_grace_2018,Amazing Grace,Sean P. Means,False,Certified-Fresh,Fresh,2019,"""Amazing Grace"" serves as a testament to the power of Aretha Franklin's talent, the strength of her faith, and the love of the community who supported her.",male,"['Documentary', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.9678}",0.9678
m/beauty_and_the_beast_1991,Beauty and the Beast,William Arnold,False,Certified-Fresh,Fresh,2002,"The classic story of a bewitched prince who can only be saved by true love works as a wonderful genre romance, and the characters are uniformly imaginative and charming.",male,"['Animation', 'Drama', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.501, 'pos': 0.499, 'compound': 0.9678}",0.9678
m/cadillac_records,Cadillac Records,Cosmo Landesman,True,Fresh,Fresh,2009,"The music is good, the suits are sharp, but it's the outstanding performances that wow. Walker is electrifying as Howlin' Wolf and Beyoncé - playing Etta James - has never been so sultry and sexy.",male,"['Drama', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.9676}",0.9676
m/beauty_and_the_beast_2017,Beauty and the Beast,A.O. Scott,True,Fresh,Fresh,2017,"Its classicism feels unforced and fresh. Its romance neither winks nor panders. It looks good, moves gracefully and leaves a clean and invigorating aftertaste. I almost didn't recognize the flavor: I think the name for it is joy.",unknown,"['Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.9674}",0.9674
m/cats_2019,Cats,Jason Fraley,False,Rotten,Rotten,2020,There's no use crying over spilled milk. ... It's a boo hiss - unless you're insanely curious to witness something so awesomely bad. Just remember: curiosity killed the cat.,male,"['Comedy', 'Drama', 'Musical & Performing Arts']","{'neg': 0.358, 'neu': 0.581, 'pos': 0.061, 'compound': -0.9058}",-0.9058
m/bad_company_2002,Bad Company,Danny Minton,False,Rotten,Rotten,2002,"Bad Company fails as a comedy. It fails as a spy thriller. It fails as an action-adventure film. In fact, the only category I would put it into is that of a failure.",male,"['Action & Adventure', 'Comedy', 'Documentary', 'Musical & Performing Arts']","{'neg': 0.37, 'neu': 0.535, 'pos': 0.095, 'compound': -0.9062}",-0.9062
m/bad_company_2002,Bad Company,Sam Allis,True,Rotten,Rotten,2002,"The first question to ask about Bad Company is why Anthony Hopkins is in it. We assume he had a bad run in the market or a costly divorce, because there is no earthly reason other than money why this distinguished actor would stoop so low.",mostly_male,"['Action & Adventure', 'Comedy', 'Documentary', 'Musical & Performing Arts']","{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.907}",-0.907
m/cbgb,CBGB,A.O. Scott,True,Rotten,Rotten,2013,"I would swear on a stack of Dead Boys T-shirts and a first pressing of Richard Hell and the Voidoids' ""Blank Generation"" that it could not possibly have been like that: so silly, so trivial, so boring.",unknown,"['Drama', 'Musical & Performing Arts']","{'neg': 0.33, 'neu': 0.585, 'pos': 0.084, 'compound': -0.9071}",-0.9071
m/amy_2015,Amy,Tim Brennan,False,Certified-Fresh,Fresh,2020,"It's difficult to watch, and Amy doesn't portray her as a martyr. She's a profoundly tragic figure battling a nasty affliction, and Kapadia makes no excuses for her.",male,"['Art House & International', 'Documentary', 'Musical & Performing Arts', 'Special Interest']","{'neg': 0.401, 'neu': 0.599, 'pos': 0.0, 'compound': -0.9081}",-0.9081
m/1195905-hounddog,Hounddog,Emanuel Levy,False,Rotten,Rotten,2007,"Kempmeier's follow-up to Virgin is structurally messy, confused, and cliched, a lost opportunity to deal in significant ways with child abuse and rape",male,"['Drama', 'Musical & Performing Arts']","{'neg': 0.449, 'neu': 0.421, 'pos': 0.129, 'compound': -0.9081}",-0.9081
m/amandla_a_revolution_in_four_part_harmony,Amandla! A Revolution in Four-Part Harmony,Marshall Fine,False,Certified-Fresh,Fresh,2003,"Despite horrifying tales of imprisonment, torture and death, the soldiers in this revolution transcended bitterness and embraced the idea of freedom as a principle by which to live, even in the face of hatred and violence.",male,"['Documentary', 'Drama', 'Musical & Performing Arts', 'Special Interest']","{'neg': 0.348, 'neu': 0.519, 'pos': 0.133, 'compound': -0.9118}",-0.9118
m/10011235-fame,Fame,Keith Uhlich,True,Rotten,Fresh,2009,"There are enough hoary soap-operatic plottings for a thousand Gossip Girls (emotionally distant parents, almost-rapes, suicide attempts), yet Tancharoen individualizes each crisis so that no one character comes off as a mock-universal surrogate.",male,"['Drama', 'Musical & Performing Arts', 'Romance']","{'neg': 0.321, 'neu': 0.679, 'pos': 0.0, 'compound': -0.9149}",-0.9149
m/amy_2015,Amy,Kong Rithdee,False,Certified-Fresh,Fresh,2016,"Amy is a biographical documentary of the singer Amy Winehouse, but it is also a horror film. Watching it is like watching a ghost, a confused, tortured ghost of a woman who has boundless talent in singing and none in living.",andy,"['Art House & International', 'Documentary', 'Musical & Performing Arts', 'Special Interest']","{'neg': 0.343, 'neu': 0.53, 'pos': 0.127, 'compound': -0.9161}",-0.9161
m/catch_a_fire,Catch a Fire,Joanne Kaufman,True,Certified-Fresh,Fresh,2006,"An affecting story of punishment and crime, of betrayal and redemption marred by preachiness and a treacly ending, Catch a Fire is notable for its refusal to see things in terms of black and white.",female,"['Drama', 'Musical & Performing Arts', 'Mystery & Suspense']","{'neg': 0.308, 'neu': 0.692, 'pos': 0.0, 'compound': -0.9169}",-0.9169
m/10009632-notorious,Notorious,Owen Gleiberman,True,Rotten,Fresh,2009,"Notorious is a luridly unapologetic trip through the violence, hunger, verbal bravado, and money fever of the hip-hop world, which it views as both liberating and destructive (often for the same reasons).",male,"['Drama', 'Musical & Performing Arts']","{'neg': 0.325, 'neu': 0.675, 'pos': 0.0, 'compound': -0.9186}",-0.9186
m/cats_2019,Cats,Daniel Barnes,False,Rotten,Rotten,2020,"A money pit of terrible ideas executed terribly, Cats stands as a monument to ineptitude and unimaginativeness. Everything looks disturbingly wrong from the very first frame right through to the very last.",male,"['Comedy', 'Drama', 'Musical & Performing Arts']","{'neg': 0.335, 'neu': 0.665, 'pos': 0.0, 'compound': -0.9201}",-0.9201
m/burlesque,Burlesque,Leigh Paatsch,False,Rotten,Rotten,2011,"So bad it's good or just plain bad? Terribly entertaining with emphasis on the terribly, or just, you know, terrible?",mostly_female,"['Drama', 'Musical & Performing Arts', 'Romance']","{'neg': 0.489, 'neu': 0.348, 'pos': 0.163, 'compound': -0.9214}",-0.9214
m/annie_2012,Annie,Alan Jones,False,Rotten,Rotten,2014,"The 1977 Broadway hit has suffered an overblown 1982 adaptation, a sickly 1999 TV movie and a terrible stage sequel. But the worst hadn't happened to it until this awkwardly updated, misconceived and sloppy remake.",male,"['Drama', 'Kids & Family', 'Musical & Performing Arts']","{'neg': 0.313, 'neu': 0.687, 'pos': 0.0, 'compound': -0.9222}",-0.9222
m/broadway_the_golden_age,Broadway: The Golden Age,Chris Hewitt,False,Certified-Fresh,Fresh,2004,"Whether it's Julie Harris weeping as she recalls an Ethel Waters performance she saw 60 years ago or Marian Seldes lamenting the cruelty of show biz or Ann Miller blithely carving a decade off her age, there's no arguing that these years were golden.",mostly_male,"['Documentary', 'Musical & Performing Arts', 'Special Interest']","{'neg': 0.283, 'neu': 0.717, 'pos': 0.0, 'compound': -0.9325}",-0.9325
m/bad_company_2002,Bad Company,Roger Moore,True,Rotten,Rotten,2002,"Bad luck, bad script, bad acting. Bad Company? Bad movie.",male,"['Action & Adventure', 'Comedy', 'Documentary', 'Musical & Performing Arts']","{'neg': 0.714, 'neu': 0.163, 'pos': 0.122, 'compound': -0.9382}",-0.9382
m/catch_a_fire,Catch a Fire,Tom Long,True,Certified-Fresh,Fresh,2006,"Catch a Fire blurs the distinction between labels and resonates through today's global conflicts. More importantly, the film offers a taste of the desperation and fear behind the restrictions and the cruelty that whites forced on blacks.",male,"['Drama', 'Musical & Performing Arts', 'Mystery & Suspense']","{'neg': 0.372, 'neu': 0.575, 'pos': 0.053, 'compound': -0.9383}",-0.9383
m/anvil_the_story_of_anvil,Anvil! The Story of Anvil,Dan DeLuca,True,Certified-Fresh,Fresh,2009,"Anvil! The Story of Anvil can't help but evoke This Is Spinal Tap, the classic 1984 mockumentary directed by the other Rob Reiner, in terms of both sheer hair-metal ludicrousness and indignities suffered by a not-so-successful rock band on the road.",male,"['Documentary', 'Drama', 'Musical & Performing Arts']","{'neg': 0.294, 'neu': 0.706, 'pos': 0.0, 'compound': -0.943}",-0.943
m/10009632-notorious,Notorious,Dustin Putman,False,Rotten,Rotten,2009,"If Notorious was meant to play as tragedy, it misses that mark by leaps and bounds. It's difficult to weep for a person who lived the years he was given as a rotten, big-headed soul with few, if any, redeeming qualities.",male,"['Drama', 'Musical & Performing Arts']","{'neg': 0.352, 'neu': 0.603, 'pos': 0.045, 'compound': -0.946}",-0.946
m/beyond_the_sea,Beyond the Sea,John Anderson,True,Rotten,Rotten,2004,"It's a car wreck, a sideshow. You simply have to watch, there are so many things going so terribly, terribly wrong.",male,"['Drama', 'Musical & Performing Arts']","{'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.9477}",-0.9477
